# Time, Flux
2.459424284257572144e+06,9.887324828646032460e-01
2.459424285646463279e+06,9.863021319298934664e-01
2.459424287035353947e+06,9.844964516886128836e-01
2.459424288424245082e+06,9.819331688034923511e-01
2.459424289813135751e+06,9.796419671841184451e-01
2.459424291202026419e+06,9.789496150312008149e-01
2.459424292590917554e+06,9.780531465032091809e-01
2.459424293979808223e+06,9.774465965458649652e-01
2.459424295368698891e+06,9.762643137249809033e-01
2.459424296757590026e+06,9.765862632555804002e-01
2.459424298146481160e+06,9.765207944691103314e-01
2.459424299535371363e+06,9.754713005937969417e-01
2.459424300924262498e+06,9.749013532606821686e-01
2.459424302313153632e+06,9.752323069095742980e-01
2.459424303702043835e+06,9.751924167448573488e-01
2.459424305090934969e+06,9.744910387050469414e-01
2.459424306479826104e+06,9.747787608347615596e-01
2.459424307868716773e+06,9.749051813348299511e-01
2.459424309257607441e+06,9.744310541475413867e-01
2.459424310646498110e+06,9.747468046285112653e-01
2.459424312035389245e+06,9.741221053993569523e-01
2.459424313424280379e+06,9.749192637984132048e-01
2.459424314813170582e+06,9.746939172667207218e-01
2.459424316202061716e+06,9.746666673833820349e-01
2.459424317590952851e+06,9.747391819213716557e-01
2.459424318979843054e+06,9.748025133706558210e-01
2.459424320368734188e+06,9.750916727305347642e-01
2.459424321757624857e+06,9.751901286046809059e-01
2.459424323146515992e+06,9.753429101206749774e-01
2.459424324535406660e+06,9.757478788154227978e-01
2.459424325924297329e+06,9.751762428107533243e-01
2.459424327313188463e+06,9.761781381102617727e-01
2.459424328702078667e+06,9.762619272586322561e-01
2.459424330090969801e+06,9.766663640761897858e-01
2.459424331479860935e+06,9.775376114716397558e-01
2.459424332868751604e+06,9.780632868636993660e-01
2.459424334257642273e+06,9.785528860016340369e-01
2.459424335646532942e+06,9.796323824185657614e-01
2.459424337035424076e+06,9.818063401932415335e-01
2.459424338424314279e+06,9.842130569866752721e-01
2.459424339813205414e+06,9.858061376562413658e-01
2.459424341202096548e+06,9.881436360664588303e-01
2.459424342590987217e+06,9.911999137720042263e-01
2.459424343979877885e+06,9.928168704862588845e-01
2.459424345368768554e+06,9.953009171860364157e-01
2.459424346757659689e+06,9.969722744827426153e-01
2.459424348146549892e+06,9.988249273201573741e-01
2.459424349535441026e+06,9.994326528430798051e-01
2.459424350924331695e+06,9.997637346959490356e-01
